r;fr
0.00187000000000000;1
0.00374000000000000;1
0.00561000000000000;1
0.00748000000000000;1
0.00935000000000000;1
0.0112200000000000;1
0.0130900000000000;1
0.0149600000000000;1
0.0168300000000000;1
0.0187000000000000;1
0.0205700000000000;1
0.0224400000000000;1
0.0243100000000000;1
0.0261800000000000;1
0.0280500000000000;1
0.0299200000000000;1
0.0317900000000000;1
0.0336600000000000;1
0.0355300000000000;1
0.0374000000000000;1
0.0392700000000000;1
0.0411400000000000;1
0.0430100000000000;1
0.0448800000000000;1
0.0467500000000000;1
0.0486200000000000;1
0.0504900000000000;0.997735961286542
0.0523600000000000;0.990964348631353
0.0542300000000000;0.979746486807249
0.0561000000000000;0.964183966508036
0.0579700000000000;0.944417724327462
0.0598400000000000;0.920626766415591
0.0617100000000000;0.893026547371394
0.0635800000000000;0.861867019052535
0.0654500000000000;0.827430366972643
0.0673200000000000;0.790028454785599
0.0691900000000000;0.750000000000000
0.0710600000000000;0.707707506500943
0.0729300000000000;0.663533981658711
0.0748000000000000;0.617879467754714
0.0766700000000000;0.571157419136643
0.0785400000000000;0.523790957911871
0.0804100000000000;0.476209042088129
0.0822800000000000;0.428842580863357
0.0841500000000000;0.382120532245286
0.0860200000000000;0.336466018341289
0.0878900000000000;0.292292493499057
0.0897600000000000;0.250000000000000
0.0916300000000000;0.209971545214401
0.0935000000000000;0.172569633027357
0.0953700000000000;0.138132980947465
0.0972400000000000;0.106973452628606
0.0991100000000000;0.0793732335844095
0.100980000000000;0.0555822756725383
0.102850000000000;0.0358160334919637
0.104720000000000;0.0202535131927514
0.106590000000000;0.00903565136864668
0.108460000000000;0.00226403871345771
0.110330000000000;0.00226403871345771
0.112200000000000;0
0.114070000000000;0
0.115940000000000;0
0.117810000000000;0
0.119680000000000;0
0.121550000000000;0
0.123420000000000;0
0.125290000000000;0
0.127160000000000;0
0.129030000000000;0
0.130900000000000;0
0.132770000000000;0
0.134640000000000;0
0.136510000000000;0
0.138380000000000;0
0.140250000000000;0
0.142120000000000;0
0.143990000000000;0
0.145860000000000;0
0.147730000000000;0
0.149600000000000;0
0.151470000000000;0
0.153340000000000;0
0.155210000000000;0
0.157080000000000;0
0.158950000000000;0
0.160820000000000;0
0.162690000000000;0
0.164560000000000;0
0.166430000000000;0
0.168300000000000;0
0.170170000000000;0
0.172040000000000;0
0.173910000000000;0
0.175780000000000;0
0.177650000000000;0
0.179520000000000;0
0.181390000000000;0
0.183260000000000;0
0.185130000000000;0
0.187000000000000;0
0.188870000000000;0
0.190740000000000;0
0.192610000000000;0
0.194480000000000;0
0.196350000000000;0
0.198220000000000;0
0.200090000000000;0
0.201960000000000;0
0.203830000000000;0
0.205700000000000;0
0.207570000000000;0
0.209440000000000;0
0.211310000000000;0
0.213180000000000;0
0.215050000000000;0
0.216920000000000;0
0.218790000000000;0
