r          	Er(r)      	Ephi(r)    	Ez(r)      	Hr(r)      	Hphi(r)    	Hz(r)      	Jr(r)      	Jphi(r)    	Jz(r)      
25.284     	2.33707e-12	5.80961e-12	-1.87006e-19	1.61342e-19	3.24344e-20	8.11432e-13	0          	0          	0          
25.872     	2.161e-12  	5.40449e-12	1.07134e-19	1.53961e-19	2.67494e-19	4.63157e-13	0          	0          	0          
26.46      	1.99122e-12	5.48388e-12	-1.75614e-19	1.61613e-19	1.8793e-20 	8.95931e-13	0          	0          	0          
27.048     	1.83579e-12	5.16694e-12	8.46434e-20	1.57403e-19	2.86251e-19	5.47013e-13	0          	0          	0          
27.636     	1.686e-12  	5.19349e-12	-1.56452e-19	1.61769e-19	8.59143e-21	9.72135e-13	0          	0          	0          
28.224     	1.54717e-12	4.97906e-12	5.36323e-20	1.61428e-19	3.00003e-19	6.42752e-13	0          	0          	0          
28.812     	1.41497e-12	4.93169e-12	-1.28426e-19	1.6188e-19 	5.19032e-21	1.03604e-12	0          	0          	0          
29.4       	1.28996e-12	4.83417e-12	1.36666e-20	1.65931e-19	3.05276e-19	7.53878e-13	0          	0          	0          
29.988     	1.17268e-12	4.69539e-12	-9.19821e-20	1.61986e-19	1.20457e-20	1.0857e-12 	0          	0          	0          
30.576     	1.05926e-12	4.72341e-12	-3.39457e-20	1.70675e-19	2.98913e-19	8.81703e-13	0          	0          	0          
31.164     	9.54617e-13	4.48548e-12	-4.9338e-20	1.62345e-19	3.20209e-20	1.12038e-12	0          	0          	0          
31.752     	8.51086e-13	4.63675e-12	-8.59755e-20	1.7543e-19 	2.78511e-19	1.02666e-12	0          	0          	0          
32.34      	7.57411e-13	4.30506e-12	-4.94266e-21	1.63247e-19	6.66744e-20	1.14271e-12	0          	0          	0          
32.928     	6.62277e-13	4.56259e-12	-1.36732e-19	1.79813e-19	2.43725e-19	1.18391e-12	0          	0          	0          
33.516     	5.77709e-13	4.16097e-12	3.45163e-20	1.65055e-19	1.15049e-19	1.15914e-12	0          	0          	0          
34.104     	4.90386e-13	4.48847e-12	-1.78744e-19	1.83444e-19	1.97017e-19	1.34545e-12	0          	0          	0          
34.692     	4.13332e-13	4.06015e-12	6.09453e-20	1.68164e-19	1.72957e-19	1.18049e-12	0          	0          	0          
35.28      	3.33032e-13	4.40297e-12	-2.03773e-19	1.85964e-19	1.44442e-19	1.49896e-12	0          	0          	0          
35.868     	2.61824e-13	4.00808e-12	6.64306e-20	1.72807e-19	2.32625e-19	1.22024e-12	0          	0          	0          
36.456     	1.88202e-13	4.29921e-12	-2.04854e-19	1.87237e-19	9.54138e-20	1.63007e-12	0          	0          	0          
37.044     	1.21695e-13	4.00503e-12	4.56102e-20	1.78963e-19	2.83318e-19	1.29335e-12	0          	0          	0          
37.632     	5.44691e-14	4.17701e-12	-1.78825e-19	1.8742e-19 	6.1416e-20 	1.72558e-12	0          	0          	0          
38.22      	-8.58571e-15	4.04402e-12	-1.78061e-21	1.86366e-19	3.13468e-19	1.41016e-12	0          	0          	0          
